doi,altmetric_score,Full-text_change,Full-text_m1,abstract_change,abstract_m1,author_count,neutral_results,confirmatory_results,contradictory_results,new_results,extend_p,funded,influentialReferencesCount,num_hypo_tested,num_significant,p_val_range,pdf_change,pdf_m1,reading_score,real_p,real_p_sign,reference_background,reference_methodology,reference_result,references_count,sample_size,sentiment,subjectivity,tweets_within_month,univ_rank,published_within_year
10.1101/2020.06.26.173872,1.75,69,5,-251,856,11,0,0,0,1,1,1,0,1,1,0,-54,163,40.89,0.05,0,0,0,0,47,0,1,0.595494949,9,0.910891089,1
10.1101/2020.06.26.174193,3.25,56,12,-39,573,2,0,0,0,1,1,0,0,0,0,0,-2,74,46.4,1,0,2,0,0,59,0,0,0.309090909,12,2,0
10.1101/2020.06.26.174698,18.6,60,3,-399,1128,4,0,0,0,1,1,1,0,0,0,0,-35,218,24.31,1,0,4,2,0,10,0,0,0.479130592,30,2,0
10.1101/2020.06.26.20131144,3.75,0,0,135,365,4,1,0,0,0,0,1,-1,8,8,0,36,100,11.45,0.001,0,-1,-1,-1,47,0,0,0.31404321,8,0.99009901,1
10.1101/2020.06.26.20138545,16.85,0,0,-235,687,5,1,0,0,0,1,0,0,9,9,0,-69,161,41.19,0.01,0,1,2,0,23,0,0,0.439545455,17,0.910891089,0
10.1101/2020.06.26.20139063,41.35,0,0,-894,2297,23,1,0,0,0,1,0,1,7,7,0,154,511,29.89,0.05,0,21,4,0,39,0,0,0.461176471,58,2,1
10.1101/2020.06.26.20140210,4.65,0,0,69,430,5,1,0,0,0,1,0,-1,0,0,0,45,101,14.29,1,0,-1,-1,-1,20,0,1,0.35,1,2,1
10.1101/2020.06.26.20140616,2.75,0,0,90,412,11,1,0,0,0,0,0,1,8,8,0,-63,183,40.08,0.001,-1,16,0,1,34,560,0,0.436342593,11,2,0
10.1101/2020.06.26.20140624,7.75,0,0,-646,1150,2,1,0,0,0,1,0,0,2,0,0,-105,260,38.66,1,0,0,0,0,11,0,0,0.451748512,15,2,1
10.1101/2020.06.26.20140764,3.1,0,0,109,469,7,1,0,0,0,1,1,0,2,0,0,2956,342,40.08,0.0001,0,13,7,2,37,0,0,0.501203209,7,2,0
10.1101/2020.06.26.20140806,5.9,0,0,70,374,11,1,0,0,0,1,0,0,0,0,0,-5,82,35.07,1,0,2,0,0,3,0,0,0.428807556,12,2,0
10.1101/2020.06.26.20140905,1.5,0,0,-77,491,8,1,0,0,0,1,0,4,0,0,0,-4,113,46.64,1,0,4,14,0,29,0,0,0.49331357,4,2,0
10.1101/2020.06.26.20141044,16.35,0,0,341,556,5,1,0,0,0,1,1,0,0,0,0,114,135,4.18,1,0,4,4,0,22,0,0,0.31192253,4,2,0
10.1101/2020.06.26.20141077,4.2,0,0,1264,394,3,1,0,0,0,1,0,1,0,0,0,195,93,37.74,1,0,7,4,7,32,0,0,0.383030303,17,2,0
